Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01   692336     0.00     0.00  Point::getX() const
  0.00      0.01     0.00   732126     0.00     0.00  Point::getY() const
  0.00      0.01     0.00   476086     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**>::operator*() const
  0.00      0.01     0.00   427919     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**>::_Deque_iterator(std::_Deque_iterator<Point*, Point*&, Point**> const&)
  0.00      0.01     0.00   306276     0.00     0.00  std::atan2(float, float)
  0.00      0.01     0.00   153138     0.00     0.00  comparePolar(Point*, Point*, Point&)
  0.00      0.01     0.00   153138     0.00     0.00  convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}::operator()(Point*, Point*) const
  0.00      0.01     0.00   124736     0.00     0.00  std::remove_reference<Point*&>::type&& std::move<Point*&>(Point*&)
  0.00      0.01     0.00   122579     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>::operator()<std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>)
  0.00      0.01     0.00   111429     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**>::operator--()
  0.00      0.01     0.00   108021     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**>::operator++()
  0.00      0.01     0.00    71759     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.01     0.00    71435     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**>::_S_buffer_size()
  0.00      0.01     0.00    43027     0.00     0.00  std::operator-(std::_Deque_iterator<Point*, Point*&, Point**> const&, std::_Deque_iterator<Point*, Point*&, Point**> const&)
  0.00      0.01     0.00    40042     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::size() const
  0.00      0.01     0.00    40006     0.00     0.00  std::operator==(std::_Deque_iterator<Point*, Point*&, Point**> const&, std::_Deque_iterator<Point*, Point*&, Point**> const&)
  0.00      0.01     0.00    40004     0.00     0.00  std::operator!=(std::_Deque_iterator<Point*, Point*&, Point**> const&, std::_Deque_iterator<Point*, Point*&, Point**> const&)
  0.00      0.01     0.00    30559     0.00     0.00  bool __gnu_cxx::__ops::_Val_comp_iter<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}>::operator()<Point*, std::_Deque_iterator<Point*, Point*&, Point**> >(Point*&, std::_Deque_iterator<Point*, Point*&, Point**>)
  0.00      0.01     0.00    30156     0.00     0.00  Point*&& std::forward<Point*>(std::remove_reference<Point*>::type&)
  0.00      0.01     0.00    29899     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::end()
  0.00      0.01     0.00    29892     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::back()
  0.00      0.01     0.00    24726     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<Point*> >, std::is_move_constructible<Point*>, std::is_move_assignable<Point*> >::value, void>::type std::swap<Point*>(Point*&, Point*&)
  0.00      0.01     0.00    24726     0.00     0.00  void std::iter_swap<std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**> >(std::_Deque_iterator<Point*, Point*&, Point**>, std::_Deque_iterator<Point*, Point*&, Point**>)
  0.00      0.01     0.00    24726     0.00     0.00  std::operator<(std::_Deque_iterator<Point*, Point*&, Point**> const&, std::_Deque_iterator<Point*, Point*&, Point**> const&)
  0.00      0.01     0.00    23887     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**>::operator+=(long)
  0.00      0.01     0.00    22893     0.00     0.00  std::operator+(std::_Deque_iterator<Point*, Point*&, Point**> const&, long)
  0.00      0.01     0.00    20000     0.00     0.00  Point* const& std::forward<Point* const&>(std::remove_reference<Point* const&>::type&)
  0.00      0.01     0.00    20000     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.01     0.00    19908     0.00     0.00  std::_Deque_iterator<Point*, Point*&, Point**>::operator[](long) const
  0.00      0.01     0.00    19908     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::operator[](unsigned long)
  0.00      0.01     0.00    10001     0.00     0.00  Point::~Point()
  0.00      0.01     0.00    10001     0.00     0.00  std::remove_reference<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}&>::type&& std::move<convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}&>(convexHull(std::deque<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}&)
  0.00      0.01     0.00    10000     0.00     0.00  Point::Point(float, float)
  0.00      0.01     0.00    10000     0.00     0.00  void __gnu_cxx::new_allocator<Point*>::construct<Point*, Point* const&>(Point**, Point* const&)
  0.00      0.01     0.00    10000     0.00     0.00  void __gnu_cxx::new_allocator<Point*>::construct<Point*, Point*>(Point**, Point*&&)
  0.00      0.01     0.00    10000     0.00     0.00  void std::allocator_traits<std::allocator<Point*> >::construct<Point*, Point* const&>(std::allocator<Point*>&, Point**, Point* const&)
  0.00      0.01     0.00    10000     0.00     0.00  void std::allocator_traits<std::allocator<Point*> >::construct<Point*, Point*>(std::allocator<Point*>&, Point**, Point*&&)
  0.00      0.01     0.00    10000     0.00     0.00  Point*& std::deque<Point*, std::allocator<Point*> >::emplace_back<Point*>(Point*&&)
  0.00      0.01     0.00    10000     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::push_back(Point*&&)
  0.00      0.01     0.00    10000     0.00     0.00  std::deque<Point*, std::allocator<Point*> >::push_back(Point* const&)
