Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   613850     0.00     0.00  Point::getY() const
  0.00      0.00     0.00   574048     0.00     0.00  Point::getX() const
  0.00      0.00     0.00   366935     0.00     0.00  __gnu_cxx::__aligned_membuf<Point*>::_M_ptr()
  0.00      0.00     0.00   366935     0.00     0.00  __gnu_cxx::__aligned_membuf<Point*>::_M_addr()
  0.00      0.00     0.00   366935     0.00     0.00  std::_List_node<Point*>::_M_valptr()
  0.00      0.00     0.00   326935     0.00     0.00  std::_List_iterator<Point*>::operator*() const
  0.00      0.00     0.00   302080     0.00     0.00  std::operator!=(std::_List_iterator<Point*> const&, std::_List_iterator<Point*> const&)
  0.00      0.00     0.00   247130     0.00     0.00  std::atan2(float, float)
  0.00      0.00     0.00   169843     0.00     0.00  std::_List_iterator<Point*>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00   163576     0.00     0.00  std::_List_iterator<Point*>::operator++()
  0.00      0.00     0.00   123565     0.00     0.00  comparePolar(Point*, Point*, Point&)
  0.00      0.00     0.00   123565     0.00     0.00  convexHull(std::__cxx11::list<Point*, std::allocator<Point*> >&)::{lambda(Point*, Point*)#2}::operator()(Point*, Point*) const
  0.00      0.00     0.00   120008     0.00     0.00  std::__cxx11::_List_base<Point*, std::allocator<Point*> >::_M_get_Node_allocator()
  0.00      0.00     0.00    89828     0.00     0.00  std::__cxx11::list<Point*, std::allocator<Point*> >::end()
  0.00      0.00     0.00    73116     0.00     0.00  std::__cxx11::list<Point*, std::allocator<Point*> >::_M_transfer(std::_List_iterator<Point*>, std::_List_iterator<Point*>, std::_List_iterator<Point*>)
  0.00      0.00     0.00    69996     0.00     0.00  std::__cxx11::_List_base<Point*, std::allocator<Point*> >::_M_get_size() const
  0.00      0.00     0.00    59692     0.00     0.00  std::_List_iterator<Point*>::operator--()
  0.00      0.00     0.00    50016     0.00     0.00  std::_List_const_iterator<Point*>::_List_const_iterator(std::_List_iterator<Point*> const&)
  0.00      0.00     0.00    50000     0.00     0.00  std::__cxx11::_List_base<Point*, std::allocator<Point*> >::_M_set_size(unsigned long)
  0.00      0.00     0.00    40021     0.00     0.00  std::__cxx11::list<Point*, std::allocator<Point*> >::begin()
  0.00      0.00     0.00    40008     0.00     0.00  std::__cxx11::_List_base<Point*, std::allocator<Point*> >::_M_inc_size(unsigned long)
  0.00      0.00     0.00    40000     0.00     0.00  Point*&& std::forward<Point*>(std::remove_reference<Point*>::type&)
